loan_id,LoanType,LoanAmount,InterestRate,StartDate_ID,EndDate
2,Mortgage,32428.9,2.12,541,2050-01-08
3,Personal,31406.77,4.63,424,2038-10-12
5,Auto,27873.08,7.03,750,2037-06-03
6,Auto,25666.75,6.84,1225,2039-04-28
7,Personal,23853.85,7.41,1491,2038-02-12
8,Personal,8092.2,2.85,596,2036-04-08
9,Personal,11074.47,5.36,773,2032-05-06
10,Personal,38903.23,2.28,561,2042-10-07
11,Personal,18162.6,2.12,1409,2028-11-08
12,Mortgage,12965.19,7.43,929,2032-12-27
13,Mortgage,37664.6,4.45,1086,2033-01-26
14,Auto,33958.37,5.2,1084,2036-09-06
16,Mortgage,24333.16,1.79,1386,2025-11-18
17,Auto,26360.24,2.89,239,2026-05-20
19,Mortgage,19565.92,3.28,1063,2050-11-01
21,Personal,42684.76,1.96,1476,2048-02-15
22,Mortgage,34427.31,4.02,938,2031-01-18
23,Auto,17430.29,2.8,1385,2045-12-04
24,Auto,14964.93,5.33,357,2042-10-19
25,Mortgage,35994.71,3.52,1342,2048-05-11
28,Mortgage,35911.84,4.0,1142,2045-02-21
30,Personal,26011.89,6.82,11,2049-05-18
31,Auto,26282.21,3.51,9,2049-11-06
32,Mortgage,40432.8,4.29,1387,2052-01-14
33,Auto,49124.49,5.58,1040,2031-07-07
34,Personal,48233.91,4.7,1433,2048-03-25
35,Mortgage,5710.02,5.45,1428,2047-03-11
37,Mortgage,35193.83,1.85,383,2029-09-08
38,Personal,38009.14,5.8,1197,2052-03-25
41,Personal,32850.56,2.81,694,2030-09-22
42,Mortgage,13931.18,3.35,396,2036-10-09
43,Auto,48933.91,4.43,219,2036-11-01
45,Mortgage,19607.01,2.93,1296,2033-05-07
46,Auto,39348.0,4.95,40,2030-01-30
47,Auto,49675.33,3.89,713,2036-08-10
48,Personal,31033.48,5.66,1411,2051-04-06
50,Personal,8419.93,4.1,668,2038-03-25
51,Auto,20109.87,4.66,547,2053-07-24
52,Auto,47203.82,5.28,532,2044-11-15
53,Mortgage,27719.17,1.54,774,2053-07-27
54,Auto,38994.49,5.55,359,2026-08-31
55,Personal,28988.77,3.06,83,2028-05-28
56,Auto,39189.96,6.36,1307,2027-03-06
57,Personal,19635.04,4.89,580,2026-01-11
58,Mortgage,42324.23,5.25,1190,2042-03-23
59,Auto,19426.95,7.29,535,2027-09-17
60,Mortgage,13967.51,6.27,1215,2028-12-24
61,Auto,35115.06,5.87,1340,2027-05-28
62,Auto,32793.41,3.97,243,2042-06-07
63,Auto,36341.34,4.43,515,2045-04-13
64,Mortgage,49303.25,3.12,233,2044-05-31
65,Mortgage,15237.0,2.48,845,2050-08-30
66,Personal,29065.5,2.95,459,2029-10-01
67,Auto,44125.94,6.1,642,2046-01-04
69,Personal,30019.7,7.25,877,2047-06-19
70,Mortgage,46713.9,2.13,25,2033-08-24
71,Personal,45761.17,7.22,992,2043-11-06
72,Mortgage,38402.89,4.64,146,2048-01-31
74,Mortgage,32936.11,6.22,360,2025-03-21
75,Auto,30356.38,5.99,153,2042-07-30
77,Personal,11928.9,3.05,107,2035-09-03
78,Personal,22108.89,6.6,1023,2026-08-27
79,Mortgage,48863.64,2.42,696,2034-05-16
81,Mortgage,42415.32,1.81,277,2039-07-31
82,Personal,33579.17,4.84,922,2029-09-09
83,Mortgage,20706.59,5.64,420,2047-04-20
84,Mortgage,25100.13,7.29,496,2046-11-02
86,Personal,41527.61,5.85,248,2031-12-30
87,Mortgage,15916.26,6.87,408,2041-08-14
88,Personal,46270.1,6.0,1139,2030-11-25
89,Mortgage,36110.97,6.9,881,2031-04-08
90,Mortgage,25453.13,5.76,937,2026-07-02
91,Personal,43727.85,6.46,937,2051-05-23
92,Personal,19769.58,6.15,227,2033-02-03
94,Auto,35885.02,5.32,1375,2037-08-19
96,Auto,10490.65,2.46,1248,2032-09-14
97,Auto,38654.49,7.2,1303,2026-04-06
99,Auto,48052.8,4.42,1372,2037-12-01
100,Mortgage,14654.12,6.76,1095,2046-02-02
101,Personal,8884.16,5.5,712,2045-10-05
104,Personal,42162.58,1.54,538,2027-07-04
106,Personal,20834.23,7.49,265,2044-10-18
108,Mortgage,7941.64,2.2,1442,2032-05-21
109,Personal,47272.64,5.35,462,2028-09-24
110,Personal,36095.18,4.43,18,2037-07-08
111,Auto,13231.5,5.89,408,2029-08-28
112,Mortgage,34771.89,6.08,251,2031-08-16
113,Personal,14765.02,4.49,873,2032-08-04
114,Auto,14372.77,3.14,657,2028-12-22
115,Auto,33774.39,3.97,88,2036-08-07
116,Personal,37566.46,6.78,768,2045-10-06
117,Mortgage,39006.44,6.79,1276,2040-02-28
118,Mortgage,41497.68,4.26,1308,2042-09-23
119,Auto,39458.35,4.59,1040,2029-03-07
120,Mortgage,34275.16,4.38,1243,2035-10-14
121,Mortgage,40181.66,3.54,1458,2034-08-06
122,Personal,11369.33,4.66,1356,2042-03-22
123,Auto,31200.58,2.35,187,2030-04-29
125,Mortgage,48681.51,3.28,652,2035-05-09
126,Personal,44785.92,1.55,177,2050-08-25
127,Personal,6815.56,2.9,1146,2033-12-16
128,Auto,15095.53,4.58,665,2053-12-08
130,Personal,33481.52,5.06,1291,2048-08-02
